company,job_posting_time,number_applicant,job_title,job_description,seniority_level,job_function,industries
FNA,3 months ago,200,Data Scientist,"Implement FNA’s solutions to the world’s largest central banks, financial market infrastructures and commercial banks.Actively participate as a contributing member on a team of data scientists through the whole workflow, from data access, processing and modeling, to data visualization Partner with internal FNA stakeholders and client subject matter experts to refine analyses, gain insights and present new findingsDevelop and present client-specific solutions clearly and concisely, communicate analyses, recommendations, status and results to existing clients and prospects at business management and executive levelOperationalize models into production with the FNA PlatformCarry out research and development of new use-cases, algorithms and solutions - either as part of our product road-map or based on specific client requirementsAct as product owner for specific features or models implemented in the FNA PlatformResolve client support requests in a professional and timely manner. Own and deliver meaningful work with a global impactRapidly advance your career, thinking and skills in a high growth tech companyCollaborate with a diverse, international team of innovative and high-achieving colleaguesAnnual budget for personal and professional developmentFlexible, remote working since 2014International team off-sites We reward curiosity, initiative, execution and reliability with opportunityCompany share options  The right candidates will have at minimum 2+ years experience as a Data Scientist in commercial or academic projects applying Network Science & Machine Learning models and presenting your results to stakeholdersYou should be a team player who picks up implicit tasks, is self-organized and self-motivated, embraces autonomy and working remotely but enjoys the occasional travel to interface with clients for implementations, training and use case explorationThe right candidate is naturally inquisitive with the ability to communicate technical findings to non-technical personnel and isn’t afraid to present creative, data-driven ideas to stakeholdersProficiency in data query and programing languages (Python/R/MATLAB/SQL/Java)Passion and curiosity for what is happening within RegTech/FinTech/SupTech, Cybersecurity and Cyber Threat Intelligence, Graph Databases and especially Graph Theory/Network ScienceEfficiently balances accuracy and speed while getting things done You're a team player with tenacity underpinned by self-awareness and empathyFluent written and spoken English. Additional languages are a benefit. Ability to travel approximately <25% of the time (Domestic and International) MSc or PhD level qualification in mathematics, statistics, computer science, economics, finance, physics, engineering or related applied quantitative field ",,,
Kredivo Group,3 days ago,200,Data Scientist,"Working in a multi-disciplined team where you’ll take full ownership of turning discoveries and ideas into machine learning models.Prototyping diverse machine learning models, from credit scoring to recommendation engine.Researching & Development on how to improve our models, by using our vast amount and unique set of data.Actively contribute to taking Data Science at FinAccel to the next level. Minimum 2 years of relevant work experience.Masters, PhD or equivalent experience in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, Artificial Intelligence).Capable to build robust end-to-end predictive models using the latest Machine Learning techniques and methodologies.Proficiency in Python or R.Exposure to RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3).Excellent English communication skills. Experience with alternate data to evaluate credit risk.Experience in building end-to-end Deep Learning and/or NLP models.",Mid-Senior level,Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Financial Services"
"UNIRAMA DUTA NIAGA, PT",5 days ago,Be among the first 25 applicants,AI Engineer,"Design, implement, and maintain machine learning models and algorithms.Collaborate with cross-functional teams to understand business requirements and translate them into AI solutions.Conduct data analysis to identify trends, patterns, and insights that can inform model development.Stay up-to-date with the latest advancements in AI and machine learning technologies.Participate in code reviews and provide constructive feedback to peers.Contribute to the documentation of code, processes, and best practices.Troubleshoot and debug issues in AI applications. Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field.Proven experience in developing and implementing machine learning models.Proven experience in utilizing Open AIExperience with data scrapingStrong programming skills in languages such as Python, Java, or C++.Familiarity with popular machine learning frameworks (e.g., TensorFlow, PyTorch).Experience with data preprocessing, feature engineering, and model evaluation.Good understanding of algorithms, data structures, and software design principles.Excellent problem-solving and analytical skills.Effective communication and collaboration skills in a team environment.Experience with natural language processing (NLP) and computer vision.Knowledge of cloud platforms (e.g., AWS, Azure, Google Cloud).Familiarity with deployment and monitoring of machine learning models in production.Previous work on projects related to autonomous systems or robotics.",Entry level,Engineering and Information Technology,Manufacturing
StickEarn,4 months ago,200,Data Scientist,"Lead the end-to-end data science lifecycle, from problem definition and data collection to model development and deployment.Primarily focus on data science techniques which utilize ML, predictive modeling, clustering, classification & optimization algorithms.Work closely with internal and external stakeholders to understand business objectives and translate them into working solutions.Collaborate with data engineers to preprocess and transform raw data into a suitable format for insights and decision makingEvaluate and validate model performance using appropriate metrics and ensure their scalability and robustness.Communicate complex findings and results to both technical and non-technical audiences  Bachelor's degree in Computer Science, Electrical Engineering or a related field is desirable2+ years of experience operating as a Data ScientistProficiency in Python/R, SQL & Data visualization tools (Tableau, etc)Strong understanding of data preprocessing, feature selection and model evaluation.Fluency in both Bahasa & English languagesExcellent communication skills.",Mid-Senior level,Other,Advertising Services
SuperKiosk,2 weeks ago,200,Artificial Intelligence Engineer,,Mid-Senior level,Engineering and Information Technology,Manufacturing
,,,,,,,
,,,,,,,
,,,,,,,
Traveloka,2 weeks ago,91,Machine Learning Engineer (Product),"Work with Data Scientists/Data Engineers/Software Engineers in building robust ML solutions at scale.Design, build, and maintain high performing systems built on top of our inhouse machine learning platforms and tools.Oversee and manage multiple ML system projects across domains (Recommendation, LLMs, Optimization, to name some), ensuring they meet the business objectives and are delivered on time. Bachelor’s degree in Computer Science, Data Science, Statistics, or a related field. Master's degree or higher preferred.Minimum of 3 years experience in Machine learning engineering or a related role.Experience with Cloud-based tech stack and Docker/Kubernetes deployment. GCP will be preferred.Excellent ability to translate business requirements into technical specifications.Strong expertise in Python and experience with deploying ML/Stats libraries (scikit-learn, LGBM, XGBoost to name a few).Proven experience in deploying and maintaining multiple Machine Learning systems.Exceptional interpersonal and communication skillsProactive, self-motivated, and able to work independently. Experience in deploying deep learning frameworks like PyTorch or TensorFlow.Experience with ML Lifecycle tools (eg. mlflow).",Entry level,Engineering and Information Technology,Software Development
iZeno,4 days ago,50,Data Science Lead,"Take a leadership role in pre-sales activities of AI projects, including the development and execution of AI POCs, end-user workshops, and RFP responsesLead and provide guidance for AI project delivery, from project definition, client management, and communication of key insights.Collaborate with the Head of Data Analytics, and project managers to identify skill sets required for successful project delivery.Maintain up-to-date knowledge of industry trends, emerging technologies, and competitive landscapes.Participate and host events and conferences in Indonesia. BS degree or above in a quantitative discipline (e.g., Statistics, Mathematics, CS) or equivalent practical experience.Minimum 6+ years in the data industry, with people management experience.Proficiency in Python/R, and handling large datasets.Strong analytical and problem-solving ability with attention to detail.Familiarity with PySpark is a plus.Familiarity with leading data science and data warehouse technologies is a plus.",Mid-Senior level,Sales and Business Development,IT Services and IT Consulting
Traveloka,3 weeks ago,152,Data Scientist,"Collaborate with multiple business units to understand their challenges and goals. Translate business goals into technical requirements and actionable insights Develop, implement, and maintain data-driven solutions and systems Oversee and manage multiple data science projects, ensuring they meet the business objectives and are delivered on time. Bachelor’s degree in Computer Science, Data Science, Statistics, or a related field. Master's degree or higher preferred.Minimum of 5 years experience in data science or a related role.Excellent understanding of business operations and the ability to translate business requirements into technical specifications.Experience/familiarity with some of the followings:Causal InferenceEconometricsSimulationOptimization TechniquesStrong expertise in Python and experience with ML/Stats libraries (scikit-learn, LGBM, XGBoost to name a few).Proficient in data manipulation and analysis using SQL.Experience with Cloud-based tech stack and Docker. GCP will be preferred.Proven experience in managing data projects from inception to completion.Exceptional interpersonal and communication skills, including the ability to describe complex technical concepts to non-technical stakeholders.Proactive, self-motivated, and able to work independently. Causal InferenceEconometricsSimulationOptimization Techniques Experience in deep learning frameworks like PyTorch or TensorFlow.",Entry level,Engineering and Information Technology,Software Development
Fingerprint for Success (F4S),1 week ago,120,Expression of Interest: Data Scientist,"Help job seekers get discovered by our partners based on their anticipated hiring needs.Provide optional support and resources for job seekers in their career endeavors.Help individuals understand, and bring out the best in themselves and each other. ",Entry level,Engineering and Information Technology,Internet Publishing
Staffing Ninja,1 day ago,45,Data Scientist,"Design and develop forecasting, predictive solutions for business, using Machinelearning algorithms, as per requirement.Decide and suggest the right ML algorithms and models for a given solution.Ability to guide junior data engineers, software engineers, data scientists on the bestsolution and trouble-shoot on data science related issues.Provide expert thought in data analysis in different practical business situations.Engage with clients to understand business problems and come up with approaches to solvethem.Ability to articulate Analytics/Data Science solutions in an understandable manner to clients.Guide, mentor, and coach junior team members Engineering degree in any discipline or a Science graduate6+ years in Data science / analytics / Data science project leadProficiency in data science, AI / machine learning techniques, models, and solutions.Good understanding of regression (Linear/Non-linear), classification, clustering, Time Seriesanalysis, Text and Image analyticsGood understanding of statistical &amp; data mining techniquesHands-on Experience in building Machine Learning models in PythonAbility to collect, clean, and engineer large amounts of data using SQL and other techniquesCan make use of statistical tools for data analysisData visualization skills Power BI or Tableau to bring out valuable insights from dataExperience working in AWS cloud platformExperience with microservice architectureKnowledge in REST web service developmentFamiliarity with Java Script (Node JS etc.), CSS, etc.Good to have : Proficiency in - Japanese, Chinese and English in any of the combinations",Mid-Senior level,Information Technology,Information Services
GoTo Financial,1 week ago,99,Data Scientist Expert,"Combine technical and business knowledge to develop innovative data science solutionsRapidly prototype solutions and contribute to product and feature discussionsAnalyze large volumes of data and generate actionable insightsExperiment with different ML techniques and research the latest technologies (e.g. LLM) to determine the best approachOwn end-to-end solutions, from formulating the technical problem to deployment of the solution as part of a cross-functional team of scientists, analysts, product managers, and engineers 6+ years of experience developing ML solutions, 2-3 years of fraud risk experience in account takeover, scam, and abuseStrong quantitative and problem-solving skillsSolid understanding of Statistics/ML fundamentals and experience in Python, RCommunication skills to engage with business stakeholders to understand their needs and effectively communicate the results of the analytical solutionsAbility to write clear and concise technical documentationPh.D. or Masters in a quantitative discipline (good to have - Experienced - Bachelor)",Mid-Senior level,"Design, Art/Creative, and Information Technology","Technology, Information and Internet"
KECILIN,1 day ago,Be among the first 25 applicants,Python Developer,"Design, develop, and maintain interactive and visually appealing dashboards using Python frameworks.Integrate data from various sources into the dashboards, ensuring accuracy and reliability.Customize dashboards based on client requirements.Conduct testing to ensure responsiveness and reliability.Provide configuration options for users to personalize their dashboard experience.Identify and implement optimizations for dashboard performance.Collaborate with frontend developers to integrate backend logic with frontend components.Collaborate with UX/UI designers to ensure a seamless and intuitive user experience.Document code, processes, and configurations for reference and future maintenance.Create user documentation for dashboard usage and configuration. Bachelor's degree in Computer Science, Engineering, or a related field from a top university.Proven experience in Python development with a focus on dashboard creation.have good knowledge of Python (Flask or Django), Blacksheep, HTML, CSS, and JavaScript.Strong problem-solving and communication skills.Able to work full time on site (Yogyakarta)",Entry level,Engineering and Information Technology,Software Development
byOrange,1 week ago,181,Data Scientist,"Work with large and complex datasets to extract meaningful insights, identify patterns, and uncover hidden relationships. Apply statistical analysis and data mining techniques to gain actionable insights that support decision-making processes.Design, develop, and implement machine learning models, algorithms, and predictive analytics to solve business problems and optimize processes. Collaborate with cross-functional teams to integrate these models into our products and services.Data Visualization and Reporting: Create visually appealing and informative data visualizations and reports to communicate findings and insights to both technical and non-technical stakeholders. Present complex concepts and results in a clear and concise manner.Experimentation and Optimization: Conduct A/B testing and experimentation to improve algorithms, models, and data-driven processes. Continuously monitor and evaluate model performance and propose enhancements to achieve better accuracy and efficiency.Collaborate with product managers, engineers, and other stakeholders to understand business requirements and provide data-driven solutions. Participate in brainstorming sessions and contribute innovative ideas to improve products and services.Ensure the accuracy, integrity, and reliability of data used for analysis and modeling. Identify and address data quality issues, inconsistencies, and anomalies.Keep up-to-date with the latest advancements in data science, machine learning, and related fields. Attend conferences, workshops, and online courses to enhance your knowledge and skills. Bachelor's or Master's degree in a quantitative field such as Mathematics, Data Science, Computer Science, Statistics, or a related discipline.Strong proficiency in programming languages such as Python, R, or JavaSolid understanding of statistical concepts and methodologies.Experience with SQL and working with relational databases.Familiarity with data visualization tools (e.g., Tableau, Power BI) and techniques.Knowledge of big data processing frameworks such as Hadoop or Spark is a plus.Strong problem-solving skills and the ability to work independently as well as in a team.Excellent communication skills to effectively convey complex findings to both technical and non-technical stakeholders.",Mid-Senior level,Engineering and Information Technology,Internet Publishing
,,,,,,,
Tech Mahindra,4 days ago,157,Data Scientist,"Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)At least 3 - 5 years' of experience in quantitative analytics or data modelingDeep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsFluency in a programming language Familiarity with Big Data frameworks and visualization toolsStrong expertise in Fraud modeling as well as NLPHaving capability of coaching other team membersFluent in English",Mid-Senior level,Engineering and Information Technology,IT Services and IT Consulting
,,,,,,,
Indodana,3 weeks ago,159,Data Scientist - Risk Platform,"Perform features selection, parameter binning, and optimize custom predictive machine learning models for credit risk scoringQuery, process, cleanse, and verify the integrity of data used for analysisAnalyze key metrics to determine risk and explore areas for improvementsCreate reports and dashboards to monitor model impact and performanceHelp build the variety of data ingredients needed to do modelling effectivelyMaintain the credit risk model platform which is utilized by the teamProvide advice and guidance on potential efficiency gains and new state-of-the-art credit risk modelling methodologies Bachelor degree in an analytical or quantitative discipline (e.g. math, statistics, engineering, computer science), however other disciplines will be consideredExperienced in using statistical computer languages such as R, Python SAS, SQL, or advanced MS Excel skills is a plus. Have good communication skills and able to work together in a teamExcellent problem-solving skills and have the drive to learn and master new technologies and techniquesWillingness to learn new skills independently and have a strong sense of project ownershipNot afraid to get your hands dirty to explore data and build statistical models",Associate,Engineering and Information Technology,Financial Services
,,,,,,,
Kredivo Group,3 days ago,200,Data Scientist,"Working in a multi-disciplined team where you’ll take full ownership of turning discoveries and ideas into machine learning models.Prototyping diverse machine learning models, from credit scoring to recommendation engine.Researching & Development on how to improve our models, by using our vast amount and unique set of data.Actively contribute to taking Data Science at FinAccel to the next level. Minimum 2 years of relevant work experience.Masters, PhD or equivalent experience in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, Artificial Intelligence).Capable to build robust end-to-end predictive models using the latest Machine Learning techniques and methodologies.Proficiency in Python or R.Exposure to RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3).Excellent English communication skills. Experience with alternate data to evaluate credit risk.Experience in building end-to-end Deep Learning and/or NLP models.",Mid-Senior level,Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Financial Services"
FNA,3 months ago,200,Data Scientist,"Implement FNA’s solutions to the world’s largest central banks, financial market infrastructures and commercial banks.Actively participate as a contributing member on a team of data scientists through the whole workflow, from data access, processing and modeling, to data visualization Partner with internal FNA stakeholders and client subject matter experts to refine analyses, gain insights and present new findingsDevelop and present client-specific solutions clearly and concisely, communicate analyses, recommendations, status and results to existing clients and prospects at business management and executive levelOperationalize models into production with the FNA PlatformCarry out research and development of new use-cases, algorithms and solutions - either as part of our product road-map or based on specific client requirementsAct as product owner for specific features or models implemented in the FNA PlatformResolve client support requests in a professional and timely manner. Own and deliver meaningful work with a global impactRapidly advance your career, thinking and skills in a high growth tech companyCollaborate with a diverse, international team of innovative and high-achieving colleaguesAnnual budget for personal and professional developmentFlexible, remote working since 2014International team off-sites We reward curiosity, initiative, execution and reliability with opportunityCompany share options  The right candidates will have at minimum 2+ years experience as a Data Scientist in commercial or academic projects applying Network Science & Machine Learning models and presenting your results to stakeholdersYou should be a team player who picks up implicit tasks, is self-organized and self-motivated, embraces autonomy and working remotely but enjoys the occasional travel to interface with clients for implementations, training and use case explorationThe right candidate is naturally inquisitive with the ability to communicate technical findings to non-technical personnel and isn’t afraid to present creative, data-driven ideas to stakeholdersProficiency in data query and programing languages (Python/R/MATLAB/SQL/Java)Passion and curiosity for what is happening within RegTech/FinTech/SupTech, Cybersecurity and Cyber Threat Intelligence, Graph Databases and especially Graph Theory/Network ScienceEfficiently balances accuracy and speed while getting things done You're a team player with tenacity underpinned by self-awareness and empathyFluent written and spoken English. Additional languages are a benefit. Ability to travel approximately <25% of the time (Domestic and International) MSc or PhD level qualification in mathematics, statistics, computer science, economics, finance, physics, engineering or related applied quantitative field ",,,
ilmuOne Data,4 days ago,72,Data Scientist (FT),"Assist in methodology research, data processing, and documentation to conduct independent self-guided exploration of research and frame open-ended industry questions, including, but not limited to:Conducts statistical analyses to develop strategies,Builds predictive models and machine-learning algorithms,Identifies data patterns and trends,Proposes solutions and strategies to business challenges,Presents information using data visualization techniques, andDocuments all processes and research.Discover new opportunities to optimize the business through machine learning and/or statistical modelling.Assist the design and development of analytical projects designed to understand key business behaviors that drive customer acquisition, retention, and engagement through machine learning and/or statistical modelling.Assist in implementation of client’s analytics solutions with internal Project Coordinator.Develop and maintain client analytics reports. Conducts statistical analyses to develop strategies,Builds predictive models and machine-learning algorithms,Identifies data patterns and trends,Proposes solutions and strategies to business challenges,Presents information using data visualization techniques, andDocuments all processes and research.Discover new opportunities to optimize the business through machine learning and/or statistical modelling.Assist the design and development of analytical projects designed to understand key business behaviors that drive customer acquisition, retention, and engagement through machine learning and/or statistical modelling.Assist in implementation of client’s analytics solutions with internal Project Coordinator.Develop and maintain client analytics reports. Commits to personal learning and growth.A drive to learn and master new technologies and techniques. Tangibles1-2 years of professional experiences in Data Science fields. Fresh graduate are welcome to applyMandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.Intermediate Mathematical, Statistical, and/or Machine Learning skills required, and their real-world advantages/drawbacks.Knowledge and/or experience in working with structured and/or unstructured data sets.Knowledge and/or experience in Data Architecture and Engineering is a plus, especially Google Cloud Platform.Familiar with Data Visualization Tools, Google Data Studio is a plus.CharacterProblem-solving skills, structured thinking and scientific approach required.Ability to work with minimal supervision and keep supervisors informed.Ability to work well in a team environment.Ability to communicate in clear and concise terms.Willing to learn new skills and able to do so independently.Ability to take initiative.",Entry level,Science,IT Services and IT Consulting
